,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
WESTCHESTER," 29,663 "," $259,904 "," $84,776 "," $1,889 "," $23,974 ", $- ," $1,307 "," $5,733 "," $142,225 ","7,862",,,
WYOMING," 2,850 "," $20,275 "," $10,738 ", $- , $782 , $- , $- , $165 ," $8,590 ",985,,,
YATES," 1,835 "," $15,383 "," $7,894 ", $- , $439 , $- , $- , $201 ," $6,849 ",693,,,
,,,,,,,,,,,,,
NEW YORK (Totals),"806,827 "," $6,311,502 "," $2,567,691 "," $50,089 "," $593,736 ", $- ," $102,989 "," $82,113 "," $2,914,884 ","227,361 ",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 35,781 "," $249,527 "," $101,271 "," $1,011 "," $21,832 ", $- ," $10,556 "," $5,037 "," $109,820 ","9,609",,,
CONG. DIST (02)," 30,720 "," $218,065 "," $70,977 "," $2,298 "," $16,247 ", $- ," $11,937 "," $4,099 "," $112,507 ","8,355",,,
CONG. DIST (03)," 28,132 "," $207,202 "," $71,895 ", $262 ," $20,285 ", $- ," $3,520 "," $4,708 "," $106,533 ","6,744",,,
CONG. DIST (04)," 25,094 "," $145,282 "," $67,046 ", $- ," $18,330 ", $- , $- ," $5,593 "," $54,314 ","5,782",,,
CONG. DIST (05)," 18,775 "," $170,656 "," $39,329 ", $- ," $20,586 ", $- , $- ," $1,821 "," $108,920 ","5,113",,,
CONG. DIST (06)," 14,242 "," $106,613 "," $45,267 ", $- ," $25,817 ", $- , $- ," $1,782 "," $33,746 ","2,650",,,
CONG. DIST (07)," 9,547 "," $109,038 "," $38,299 ", $1 ," $20,508 ", $- , $- ," $1,199 "," $49,031 ","2,703",,,
CONG. DIST (08)," 16,710 "," $174,216 "," $45,436 ", $322 ," $23,345 ", $- , $- ," $1,101 "," $104,011 ","5,044",,,
CONG. DIST (09)," 12,729 "," $136,119 "," $43,108 ", $517 ," $21,990 ", $- , $- ," $1,002 "," $69,501 ","3,716",,,
CONG. DIST (10)," 13,043 "," $141,441 "," $42,191 ", $518 ," $25,700 ", $- ," $22,517 "," $2,383 "," $48,132 ","2,834",,,
CONG. DIST (11)," 23,171 "," $182,821 "," $72,645 ", $517 ," $21,894 ", $- , $- ," $1,841 "," $85,924 ","5,620",,,
CONG. DIST (12)," 17,255 "," $192,574 "," $49,676 "," $39,386 "," $31,277 ", $- ," $4,329 "," $3,101 "," $64,805 ","3,441",,,
CONG. DIST (13)," 14,032 "," $188,879 "," $37,466 ", $14 ," $22,687 ", $- ," $2,100 "," $1,965 "," $124,646 ","5,139",,,
CONG. DIST (14)," 13,956 "," $120,648 "," $41,781 "," $1,889 "," $22,889 ", $- , $- ," $1,262 "," $52,827 ","3,223",,,
CONG. DIST (15)," 11,374 "," $189,821 "," $52,047 ", $- ," $26,832 ", $- , $- , $876 ," $110,066 ","5,065",,,
CONG. DIST (16)," 21,764 "," $173,734 "," $61,226 ", $- ," $21,599 ", $- , $- ," $3,213 "," $87,696 ","5,826",,,
CONG. DIST (17)," 22,257 "," $201,727 "," $65,024 ", $- ," $16,065 ", $- ," $1,785 "," $3,562 "," $115,292 ","6,645",,,
CONG. DIST (18)," 36,753 "," $282,580 "," $115,872 ", $- ," $29,226 ", $- , $- ," $3,012 "," $134,469 ","9,893",,,
CONG. DIST (19)," 45,714 "," $272,332 "," $123,702 ", $- ," $15,844 ", $- , $- ," $3,084 "," $129,701 ","12,187",,,
CONG. DIST (20)," 44,569 "," $289,561 "," $126,711 ", $23 ," $22,420 ", $- ," $1,885 "," $3,846 "," $134,676 ","10,822",,,
CONG. DIST (21)," 64,555 "," $391,780 "," $228,901 ", $- ," $38,029 ", $- , $- ," $3,568 "," $121,281 ","16,821",,,
CONG. DIST (22)," 51,579 "," $303,271 "," $163,481 ", $229 ," $14,924 ", $- , $- ," $3,544 "," $121,092 ","14,430",,,
CONG. DIST (23)," 54,782 "," $422,623 "," $214,439 ", $- ," $16,309 ", $- ," $1,165 "," $3,750 "," $186,960 ","18,685",,,
CONG. DIST (24)," 47,869 "," $368,686 "," $148,993 ", $- ," $20,772 ", $- , $- ," $3,907 "," $195,013 ","15,549",,,
CONG. DIST (25)," 38,157 "," $207,719 "," $107,047 ", $5 ," $17,786 ", $- , $- ," $3,535 "," $79,346 ","10,767",,,
CONG. DIST (26)," 45,265 "," $470,771 "," $206,119 "," $2,217 "," $21,822 ", $- ," $43,196 "," $5,121 "," $192,295 ","14,725",,,
CONG. DIST (27)," 48,999 "," $393,817 "," $187,742 ", $877 ," $18,720 ", $- , $- ," $4,199 "," $182,278 ","15,973",,,
,,,,,,,,,,,,,
NEW YORK (Totals),"806,827"," $6,311,502 "," $2,567,691 "," $50,089 "," $593,736 ", $- ," $102,989 "," $82,113 "," $2,914,884 ","227,361",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
