,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
SALINE," 3,992 "," $26,594 "," $13,113 ", $- ," $2,975 ", $- , $- , $455 ," $10,052 ","1,461",,
SCOTT, 322 ," $1,007 ", $578 , $- , $12 , $- , $- , $57 , $360 ,76,,
SEDGWICK," 34,386 "," $259,572 "," $110,533 ", $- ," $18,790 ", $- ," $9,830 "," $2,731 "," $117,688 ","10,025",,
SEWARD, 592 ," $2,495 "," $1,363 ", $- , $149 , $- , $- , $8 , $975 ,172,,
SHAWNEE," 14,676 "," $162,007 "," $70,104 ", $- ," $6,619 ", $- ," $2,264 "," $1,045 "," $81,975 ","5,856",,
SHERIDAN, 187 , $327 , $180 , $- , $5 , $- , $- , $7 , $135 ,65,,
SHERMAN, 353 ," $1,922 ", $983 , $- , $84 , $- , $- , $15 , $841 ,122,,
SMITH, 332 ," $1,829 ", $982 , $- , $22 , $- , $- , $1 , $825 ,129,,
STAFFORD, 292 ," $1,364 ", $840 , $- , $54 , $- , $- , $3 , $467 ,96,,
STANTON, 64 , $289 , $87 , $- , $- , $- , $- , $158 , $44 ,13,,
STEVENS, 223 , $762 , $477 , $- , $73 , $- , $- , $1 , $211 ,51,,
SUMNER," 1,843 "," $10,821 "," $5,511 ", $- , $329 , $- , $- , $121 ," $4,860 ",446,,
THOMAS, 489 ," $1,330 ", $740 , $- , $71 , $- , $- , $118 , $401 ,111,,
TREGO, 254 ," $1,522 ", $677 , $- , $8 , $- , $- , $9 , $829 ,94,,
WABAUNSEE, 618 ," $5,184 "," $2,628 ", $- , $274 , $- , $- , $56 ," $2,226 ",221,,
WALLACE, 95 , $667 , $369 , $- , $17 , $- , $- , $93 , $188 ,32,,
WASHINGTON, 413 ," $2,773 "," $1,482 ", $- , $64 , $- , $- , $11 ," $1,216 ",126,,
WICHITA, 79 , $366 , $249 , $- , $21 , $- , $- , $41 , $56 ,17,,
WILSON, 667 ," $4,014 "," $2,125 ", $- , $117 , $- , $- , $256 ," $1,515 ",188,,
WOODSON, 286 ," $1,738 "," $1,145 ", $- , $32 , $- , $- , $26 , $535 ,85,,
WYANDOTTE," 9,524 "," $78,882 "," $35,143 ", $- ," $3,555 ", $- , $- , $560 ," $39,625 ","3,105",,
,,,,,,,,,,,,
KANSAS (Totals),"196,892 "," $1,455,708 "," $698,221 "," $1,760 "," $117,574 ", $- ," $21,264 "," $15,008 "," $601,881 ","59,443 ",,
,,,,,,,,,,,,
CONG. DIST (01)," 51,699 "," $349,553 "," $186,745 ", $- ," $42,991 ", $- , $- ," $3,425 "," $116,392 ","16,144",,
CONG. DIST (02)," 54,755 "," $508,721 "," $233,513 "," $1,760 "," $30,522 ", $- ," $11,434 "," $3,400 "," $228,091 ","18,967",,
CONG. DIST (03)," 41,022 "," $245,669 "," $123,626 ", $- ," $19,955 ", $- , $- ," $4,479 "," $97,609 ","10,120",,
CONG. DIST (04)," 49,415 "," $351,764 "," $154,337 ", $- ," $24,105 ", $- ," $9,830 "," $3,705 "," $159,788 ","14,212",,
,,,,,,,,,,,,
KANSAS (Totals),"196,892 "," $1,455,708 "," $698,221 "," $1,760 "," $117,574 ", $- ," $21,264 "," $15,008 "," $601,881 ","59,443 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
