,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
CONG. DIST (01)," 46,313 "," $240,284 "," $139,927 ", $- ," $21,146 ", $- , $- ," $3,754 "," $75,458 ","8,723",,,,
CONG. DIST (02)," 52,003 "," $203,807 "," $120,441 ", $- ," $15,900 ", $- , $- ," $4,466 "," $63,000 ","8,978",,,,
CONG. DIST (03)," 58,074 "," $310,395 "," $190,376 ", $6 ," $33,188 ", $- ," $3,697 "," $6,635 "," $76,493 ","11,134",,,,
CONG. DIST (04)," 44,308 "," $178,895 "," $103,713 ", $206 ," $15,560 ", $- , $- ," $6,198 "," $53,219 ","7,557",,,,
CONG. DIST (05)," 34,553 "," $138,767 "," $67,358 ", $- ," $16,290 ", $- , $- ," $5,476 "," $49,643 ","5,992",,,,
CONG. DIST (06)," 30,050 "," $145,488 "," $74,254 ", $- ," $16,562 ", $- , $- ," $2,846 "," $51,825 ","4,854",,,,
CONG. DIST (07)," 33,991 "," $175,667 "," $62,261 ", $236 ," $12,058 ", $- , $- ," $5,116 "," $95,996 ","5,149",,,,
CONG. DIST (08)," 14,475 "," $87,174 "," $33,666 ", $- ," $13,179 ", $- , $- ," $1,115 "," $39,214 ","3,016",,,,
CONG. DIST (09)," 22,797 "," $120,891 "," $57,061 ", $- ," $16,473 ", $- , $- ," $2,883 "," $44,475 ","4,619",,,,
CONG. DIST (10)," 25,339 "," $265,297 "," $86,949 ", $107 ," $27,529 ", $- ," $15,020 "," $1,796 "," $133,896 ","6,828",,,,
CONG. DIST (11)," 35,049 "," $105,384 "," $45,146 ", $- ," $11,214 ", $- , $- ," $6,262 "," $42,762 ","5,031",,,,
CONG. DIST (12)," 31,443 "," $143,529 "," $65,907 ", $- ," $15,010 ", $- , $- ," $4,498 "," $58,114 ","5,247",,,,
,,,,,,,,,,,,,,
NEW JERSEY (Totals),"428,396 "," $2,115,578 "," $1,047,058 ", $555 ," $214,108 ", $- ," $18,716 "," $51,045 "," $784,096 ","77,128 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
