,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
POLK," 1,957 "," $20,755 "," $11,026 ", $- , $449 , $- , $- , $42 ," $9,239 ",904,,,
POPE," 4,719 "," $38,972 "," $19,465 ", $- ," $2,219 ", $- , $- , $366 ," $16,922 ","1,582",,,
PRAIRIE, 634 ," $7,620 "," $3,103 ", $- , $59 , $- , $- , $22 ," $4,435 ",294,,,
PULASKI," 30,934 "," $459,598 "," $193,943 "," $12,014 "," $20,814 ", $- ," $23,944 "," $2,493 "," $206,389 ","12,668",,,
RANDOLPH," 1,322 "," $15,036 "," $9,438 ", $- , $302 , $- , $- , $12 ," $5,283 ",685,,,
SAINT FRANCIS," 1,290 "," $13,935 "," $7,925 ", $- , $427 , $- , $- , $37 ," $5,546 ",500,,,
SALINE," 10,062 "," $79,216 "," $40,285 ", $- ," $4,145 ", $- , $- , $428 ," $34,358 ","3,170",,,
SCOTT, 827 ," $9,100 "," $4,551 ", $- , $190 , $- , $- , $24 ," $4,335 ",463,,,
SEARCY, 691 ," $7,956 "," $4,707 ", $- , $73 , $- , $- , $38 ," $3,138 ",324,,,
SEBASTIAN," 9,377 "," $77,945 "," $44,354 ", $- ," $3,730 ", $- ," $1,314 ", $471 ," $28,076 ","4,078",,,
SEVIER, 886 ," $6,955 "," $3,926 ", $- , $227 , $- , $- , $43 ," $2,759 ",314,,,
SHARP," 1,857 "," $19,194 "," $12,077 ", $- , $454 , $- , $- , $118 ," $6,546 ",782,,,
STONE," 1,184 "," $11,438 "," $7,003 ", $- , $183 , $- , $- , $4 ," $4,248 ",437,,,
UNION," 2,945 "," $20,919 "," $10,924 ", $- , $760 , $- , $- , $157 ," $9,078 ","1,025",,,
VAN BUREN," 1,742 "," $17,898 "," $9,089 ", $- , $197 , $- , $- , $15 ," $8,597 ",761,,,
WASHINGTON," 12,499 "," $131,713 "," $58,653 "," $1,382 "," $6,647 ", $- ," $2,986 "," $1,095 "," $60,950 ","5,549",,,
WHITE," 5,223 "," $60,414 "," $33,899 ", $- ," $2,598 ", $- , $- , $335 ," $23,583 ","2,065",,,
WOODRUFF, 504 ," $4,445 "," $2,452 ", $- , $77 , $- , $- , $10 ," $1,905 ",153,,,
YELL," 1,471 "," $13,733 "," $7,067 ", $- , $361 , $- , $- , $49 ," $6,257 ",526,,,
,,,,,,,,,,,,,
ARKANSAS (Totals),"225,118 "," $2,215,940 "," $1,129,084 "," $13,396 "," $89,670 ", $- ," $28,244 "," $14,433 "," $941,113 ","86,483 ",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 55,459 "," $516,822 "," $291,973 ", $- ," $20,584 ", $- , $- ," $3,242 "," $201,024 ","20,449",,,
CONG. DIST (02)," 59,398 "," $734,336 "," $333,049 "," $12,014 "," $34,543 ", $- ," $23,944 "," $3,857 "," $326,929 ","22,725",,,
CONG. DIST (03)," 53,212 "," $459,581 "," $238,315 ", $831 ," $20,051 ", $- ," $4,300 "," $4,084 "," $192,000 ","21,946",,,
CONG. DIST (04)," 57,048 "," $505,201 "," $265,747 ", $551 ," $14,493 ", $- , $- ," $3,251 "," $221,159 ","21,363",,,
,,,,,,,,,,,,,
ARKANSAS (Totals),"225,118 "," $2,215,940 "," $1,129,084 "," $13,396 "," $89,670 ", $- ," $28,244 "," $14,433 "," $941,113 ","86,483 ",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
