,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
WINNEBAGO, 750 ," $5,371 "," $3,032 ", $- , $235 , $- , $- , $104 ," $1,999 ",292,,,,
WINNESHIEK," 1,309 "," $6,687 "," $3,395 ", $- , $298 , $- , $- , $202 ," $2,792 ",392,,,,
WOODBURY," 6,900 "," $35,086 "," $16,891 ", $- ," $2,677 ", $- , $- , $583 ," $14,934 ","2,217",,,,
WORTH, 640 ," $4,275 "," $2,373 ", $- , $53 , $- , $- , $14 ," $1,835 ",253,,,,
WRIGHT, 896 ," $5,509 "," $2,811 ", $- , $206 , $- , $- , $112 ," $2,381 ",374,,,,
,,,,,,,,,,,,,,
IOWA (Totals),"211,549 "," $1,381,697 "," $628,838 ", $155 ," $75,331 ", $- ," $11,274 "," $17,736 "," $648,364 ","71,449 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 54,579 "," $322,780 "," $152,313 ", $- ," $15,951 ", $- , $- ," $4,750 "," $149,766 ","17,997",,,,
CONG. DIST (02)," 52,745 "," $340,036 "," $150,347 ", $8 ," $22,948 ", $- , $- ," $4,133 "," $162,600 ","16,517",,,,
CONG. DIST (03)," 51,598 "," $415,585 "," $175,667 ", $146 ," $22,144 ", $- ," $11,274 "," $4,019 "," $202,335 ","17,257",,,,
CONG. DIST (04)," 52,627 "," $303,297 "," $150,511 ", $- ," $14,288 ", $- , $- ," $4,834 "," $133,663 ","19,678",,,,
,,,,,,,,,,,,,,
IOWA (Totals),"211,549 "," $1,381,697 "," $628,838 ", $155 ," $75,331 ", $- ," $11,274 "," $17,736 "," $648,364 ","71,449 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
