,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
HOUSTON, 741 ," $7,411 "," $5,033 ", $- , $310 , $- , $- , $14 ," $2,054 ",215,,,,
HUMPHREYS," 1,600 "," $12,755 "," $7,808 ", $- , $504 , $- , $- , $61 ," $4,382 ",434,,,,
JACKSON, 813 ," $6,907 "," $2,580 ", $- , $196 , $- , $- , $22 ," $4,109 ",336,,,,
JEFFERSON," 4,398 "," $36,654 "," $23,023 ", $- ," $1,374 ", $- , $- , $271 ," $11,986 ","1,487",,,,
JOHNSON," 1,347 "," $17,092 "," $9,978 ", $- , $187 , $- , $- , $63 ," $6,863 ",692,,,,
KNOX," 30,972 "," $194,041 "," $121,262 ", $188 ," $19,821 ", $- , $149 ," $2,544 "," $50,077 ","7,879",,,,
LAKE, 366 ," $3,452 "," $1,498 ", $- , $31 , $- , $- , $6 ," $1,918 ",121,,,,
LAUDERDALE," 1,542 "," $14,899 "," $7,074 ", $- , $292 , $- , $- , $111 ," $7,423 ",474,,,,
LAWRENCE," 2,804 "," $26,174 "," $16,435 ", $- ," $1,004 ", $- , $- , $150 ," $8,585 ",833,,,,
LEWIS, 863 ," $8,242 "," $4,733 ", $- , $240 , $- , $- , $19 ," $3,250 ",380,,,,
LINCOLN," 2,656 "," $18,009 "," $10,748 ", $- , $622 , $- , $- , $108 ," $6,531 ",603,,,,
LOUDON," 5,074 "," $27,538 "," $19,859 ", $- ," $1,371 ", $- , $- , $380 ," $5,927 ","1,080",,,,
MCMINN," 4,022 "," $30,135 "," $18,811 ", $- ," $1,105 ", $- , $- , $321 ," $9,899 ","1,271",,,,
MCNAIRY," 2,008 "," $17,142 "," $11,343 ", $- , $471 , $- , $- , $100 ," $5,228 ",577,,,,
MACON," 1,395 "," $8,504 "," $4,859 ", $- , $283 , $- , $- , $1 ," $3,362 ",369,,,,
MADISON," 6,538 "," $45,375 "," $28,128 ", $- ," $2,550 ", $- , $- , $355 ," $14,343 ","1,714",,,,
MARION," 2,193 "," $11,390 "," $5,479 ", $- , $448 , $- , $- , $82 ," $5,381 ",624,,,,
MARSHALL," 2,138 "," $19,260 "," $9,634 ", $- , $547 , $- , $- , $85 ," $8,994 ",723,,,,
MAURY," 5,818 "," $49,442 "," $29,162 ", $- ," $2,912 ", $- , $- , $383 ," $16,985 ","1,724",,,,
MEIGS, 996 ," $8,233 "," $6,034 ", $- , $206 , $- , $- , $48 ," $1,945 ",285,,,,
MONROE," 3,749 "," $23,886 "," $16,103 ", $- , $686 , $- , $- , $151 ," $6,946 ",964,,,,
MONTGOMERY," 33,767 "," $453,387 "," $297,692 ", $- ," $73,461 ", $- , $- ," $1,957 "," $80,278 ","10,713",,,,
MOORE, 524 ," $3,169 "," $1,092 ", $- , $160 , $- , $- , $11 ," $1,906 ",206,,,,
MORGAN," 1,764 "," $9,740 "," $6,245 ", $- , $424 , $- , $- , $2 ," $3,069 ",481,,,,
OBION," 2,220 "," $14,839 "," $8,946 ", $- , $314 , $- , $- , $21 ," $5,558 ",700,,,,
OVERTON," 1,337 "," $12,853 "," $6,907 ", $- , $347 , $- , $- , $52 ," $5,547 ",575,,,,
PERRY, 567 ," $7,064 "," $4,069 ", $- , $196 , $- , $- , $13 ," $2,787 ",236,,,,
PICKETT, 538 ," $4,148 "," $2,706 ", $- , $86 , $- , $- , $5 ," $1,351 ",180,,,,
POLK," 1,236 "," $9,594 "," $6,571 ", $- , $292 , $- , $- , $28 ," $2,703 ",352,,,,
PUTNAM," 4,667 "," $42,421 "," $25,939 ", $- ," $2,989 ", $- , $- , $369 ," $13,123 ","1,731",,,,
RHEA," 2,442 "," $16,411 "," $11,637 ", $- , $651 , $- , $- , $106 ," $4,016 ",603,,,,
ROANE," 5,215 "," $33,256 "," $22,601 ", $- ," $1,060 ", $- , $- , $113 ," $9,482 ","1,393",,,,
ROBERTSON," 5,193 "," $46,231 "," $28,049 ", $- ," $3,906 ", $- , $- , $265 ," $14,011 ","1,286",,,,
RUTHERFORD," 20,281 "," $215,472 "," $86,528 ", $- ," $18,844 ", $- ," $1,537 "," $1,106 "," $107,456 ","6,497",,,,
SCOTT," 1,217 "," $11,718 "," $8,317 ", $- , $318 , $- , $- , $85 ," $2,999 ",474,,,,
SEQUATCHIE," 1,165 "," $13,322 "," $9,595 ", $- , $499 , $- , $- , $21 ," $3,207 ",367,,,,
SEVIER," 8,177 "," $59,338 "," $39,343 ", $- ," $2,278 ", $- , $- , $434 ," $17,283 ","2,616",,,,
SHELBY," 55,617 "," $539,184 "," $233,005 "," $6,851 "," $32,165 ", $- ," $3,308 "," $4,584 "," $259,272 ","17,725",,,,
SMITH," 1,313 "," $7,957 "," $4,542 ", $- , $456 , $- , $- , $49 ," $2,910 ",360,,,,
STEWART," 1,789 "," $22,240 "," $15,126 ", $- ," $1,757 ", $- , $- , $95 ," $5,262 ",649,,,,
SULLIVAN," 12,596 "," $133,033 "," $72,725 ", $- ," $3,799 ", $- , $- , $506 ," $56,004 ","5,462",,,,
SUMNER," 12,614 "," $84,596 "," $48,579 ", $- ," $6,893 ", $- , $- , $663 ," $28,461 ","3,006",,,,
TIPTON," 5,091 "," $47,060 "," $27,508 ", $- ," $4,289 ", $- , $- , $598 ," $14,665 ","1,383",,,,
TROUSDALE, 459 ," $4,102 "," $2,223 ", $- , $66 , $- , $- , $- ," $1,813 ",191,,,,
UNICOI," 1,515 "," $22,589 "," $10,403 ", $- , $304 , $- , $- , $148 ," $11,733 ",892,,,,
UNION," 1,219 "," $7,342 "," $4,459 ", $- , $201 , $- , $- , $164 ," $2,518 ",434,,,,
VAN BUREN, 430 ," $3,454 "," $1,416 ", $- , $47 , $- , $- , $3 ," $1,988 ",218,,,,
WARREN," 2,429 "," $25,500 "," $13,022 ", $- , $692 , $- , $- , $87 ," $11,699 ","1,058",,,,
WASHINGTON," 10,206 "," $173,611 "," $69,961 "," $6,554 "," $4,983 ", $- ," $4,921 ", $631 ," $86,561 ","5,621",,,,
WAYNE," 1,106 "," $7,276 "," $4,100 ", $- , $205 , $- , $- , $41 ," $2,930 ",288,,,,
WEAKLEY," 2,360 "," $15,574 "," $8,420 ", $- ," $1,030 ", $- , $- , $116 ," $6,008 ",561,,,,
WHITE," 2,094 "," $16,383 "," $10,210 ", $- , $685 , $- , $- , $19 ," $5,469 ",711,,,,
WILLIAMSON," 9,964 "," $51,769 "," $31,399 ", $- ," $4,938 ", $- , $- ," $1,002 "," $14,430 ","1,667",,,,
WILSON," 8,940 "," $67,147 "," $36,351 ", $- ," $4,755 ", $- , $- , $550 ," $25,491 ","2,438",,,,
,,,,,,,,,,,,,,
TENNESSEE (Totals),"474,686 "," $4,208,541 "," $2,292,295 "," $13,910 "," $279,651 ", $- ," $68,146 "," $29,795 "," $1,524,743 ","146,894 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 57,564 "," $656,272 "," $334,778 "," $6,675 "," $17,517 ", $- ," $4,921 "," $2,983 "," $289,398 ","25,894",,,,
CONG. DIST (02)," 54,590 "," $355,984 "," $233,446 ", $68 ," $27,299 ", $- , $156 ," $3,804 "," $91,211 ","14,234",,,,
CONG. DIST (03)," 53,637 "," $352,532 "," $231,803 ", $- ," $18,296 ", $- ," $2,126 "," $3,295 "," $97,012 ","14,660",,,,
CONG. DIST (04)," 53,304 "," $465,158 "," $233,039 ", $- ," $29,212 ", $- , $275 ," $2,482 "," $200,149 ","16,445",,,,
CONG. DIST (05)," 39,191 "," $449,757 "," $179,636 ", $255 ," $31,483 ", $- ," $57,361 "," $3,596 "," $177,427 ","11,573",,,,
CONG. DIST (06)," 56,292 "," $421,861 "," $241,220 ", $3 ," $26,109 ", $- , $- ," $3,129 "," $151,401 ","16,619",,,,
CONG. DIST (07)," 69,867 "," $709,574 "," $450,679 ", $59 ," $83,516 ", $- , $- ," $3,939 "," $171,382 ","20,300",,,,
CONG. DIST (08)," 51,754 "," $345,111 "," $204,541 ", $89 ," $20,733 ", $- , $- ," $2,984 "," $116,764 ","12,386",,,,
CONG. DIST (09)," 38,487 "," $452,293 "," $183,155 "," $6,763 "," $25,487 ", $- ," $3,308 "," $3,583 "," $229,998 ","14,783",,,,
,,,,,,,,,,,,,,
TENNESSEE (Totals),"474,686 "," $4,208,541 "," $2,292,295 "," $13,910 "," $279,651 ", $- ," $68,146 "," $29,795 "," $1,524,743 ","146,894 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
