,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
MARSHALL," 3,220 "," $12,978 "," $6,708 ", $- , $438 , $- , $- , $71 ," $5,760 ",769,,,
MASON," 2,284 "," $15,302 "," $8,533 ", $- , $230 , $- , $- , $393 ," $6,146 ",676,,,
MERCER," 5,683 "," $67,533 "," $36,427 ", $- ," $1,697 ", $- , $- , $264 ," $29,145 ","2,227",,,
MINERAL," 3,187 "," $18,713 "," $10,568 ", $- , $409 , $- , $- , $38 ," $7,698 ","1,006",,,
MINGO," 1,399 "," $17,109 "," $11,339 ", $- , $242 , $- , $- , $46 ," $5,482 ",626,,,
MONONGALIA," 6,561 "," $37,093 "," $19,194 ", $- ," $4,616 ", $- , $- , $314 ," $12,969 ","1,533",,,
MONROE," 1,164 "," $16,477 "," $10,056 ", $- , $319 , $- , $- , $101 ," $6,001 ",565,,,
MORGAN," 1,643 "," $15,027 "," $6,445 ", $- , $509 , $- , $- , $234 ," $7,839 ",572,,,
NICHOLAS," 2,065 "," $24,616 "," $14,745 ", $- , $408 , $- , $- , $74 ," $9,389 ",972,,,
OHIO," 3,913 "," $17,803 "," $9,570 ", $- , $901 , $- , $- , $689 ," $6,643 ","1,061",,,
PENDLETON, 939 ," $4,843 "," $2,627 ", $- , $180 , $- , $- , $99 ," $1,939 ",286,,,
PLEASANTS, 653 ," $3,993 "," $1,960 ", $- , $91 , $- , $- , $103 ," $1,838 ",177,,,
POCAHONTAS, 869 ," $7,264 "," $4,070 ", $- , $96 , $- , $- , $11 ," $3,087 ",342,,,
PRESTON," 3,103 "," $25,063 "," $14,335 ", $- , $576 , $- , $- , $248 ," $9,903 ",984,,,
PUTNAM," 4,993 "," $30,211 "," $15,862 ", $- ," $1,472 ", $- , $- , $553 ," $12,325 ","1,344",,,
RALEIGH," 7,152 "," $116,759 "," $46,508 "," $4,957 "," $1,829 ", $- , $875 , $352 ," $62,238 ","3,685",,,
RANDOLPH," 2,838 "," $24,384 "," $12,257 ", $- , $748 , $- , $- , $68 ," $11,312 ","1,065",,,
RITCHIE, 952 ," $11,633 "," $5,432 ", $- , $185 , $- , $- , $12 ," $6,004 ",439,,,
ROANE," 1,362 "," $9,882 "," $5,665 ", $- , $146 , $- , $- , $18 ," $4,053 ",443,,,
SUMMERS," 1,298 "," $15,021 "," $7,818 ", $- , $267 , $- , $- , $46 ," $6,890 ",539,,,
TAYLOR," 1,652 "," $15,243 "," $6,154 "," $1,142 ", $249 , $- ," $1,122 ", $93 ," $6,484 ",613,,,
TUCKER, 674 ," $4,972 "," $2,505 ", $- , $83 , $- , $- , $17 ," $2,368 ",270,,,
TYLER, 978 ," $5,948 "," $3,040 ", $- , $57 , $- , $- , $10 ," $2,841 ",252,,,
UPSHUR," 2,292 "," $24,003 "," $10,471 ", $- , $522 , $- , $- , $108 ," $12,902 ",967,,,
WAYNE," 3,214 "," $46,404 "," $20,571 ", $151 , $841 , $- ," $1,454 ", $82 ," $23,304 ","1,665",,,
WEBSTER, 831 ," $8,906 "," $4,699 ", $- , $48 , $- , $- , $14 ," $4,146 ",356,,,
WETZEL," 1,607 "," $10,777 "," $5,791 ", $- , $152 , $- , $- , $36 ," $4,798 ",479,,,
WIRT, 516 ," $3,671 "," $2,298 ", $- , $217 , $- , $- , $6 ," $1,150 ",177,,,
WOOD," 8,857 "," $51,974 "," $30,534 ", $- ," $2,179 ", $- , $- , $422 ," $18,840 ","2,428",,,
WYOMING," 1,693 "," $20,129 "," $9,259 ", $- , $211 , $- , $- , $149 ," $10,510 ",674,,,
,,,,,,,,,,,,,
WEST VIRGINIA (Totals),"167,355 "," $1,826,167 "," $722,958 "," $9,927 "," $49,784 ", $- ," $318,791 "," $8,505 "," $716,202 ","59,261 ",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 57,119 "," $400,693 "," $198,687 "," $2,024 "," $15,483 ", $- ," $2,021 "," $3,206 "," $179,270 ","18,165",,,
CONG. DIST (02)," 59,537 "," $803,078 "," $224,758 "," $2,786 "," $21,633 ", $- ," $295,451 "," $2,754 "," $255,696 ","19,724",,,
CONG. DIST (03)," 50,699 "," $622,397 "," $299,513 "," $5,116 "," $12,668 ", $- ," $21,319 "," $2,545 "," $281,236 ","21,372",,,
,,,,,,,,,,,,,
WEST VIRGINIA (Totals),"167,355 "," $1,826,167 "," $722,958 "," $9,927 "," $49,784 ", $- ," $318,791 "," $8,505 "," $716,202 ","59,261 ",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
