,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
POTTAWATOMIE," 1,620 "," $10,721 "," $4,933 ", $- , $923 , $- , $- , $35 ," $4,830 ",535,,
PRATT, 743 ," $2,162 "," $1,145 ", $- , $69 , $- , $- , $19 , $929 ,144,,
RAWLINS, 243 , $494 , $277 , $- , $- , $- , $- , $47 , $169 ,54,,
RENO," 5,264 "," $24,739 "," $11,593 ", $- ," $1,023 ", $- , $- , $811 ," $11,312 ","1,466",,
REPUBLIC, 520 ," $2,066 ", $942 , $- , $12 , $- , $- , $13 ," $1,099 ",121,,
RICE, 858 ," $3,083 "," $1,620 ", $- , $76 , $- , $- , $40 ," $1,347 ",203,,
RILEY," 5,606 "," $44,054 "," $22,983 ", $- ," $13,188 ", $- , $- , $520 ," $7,363 ","1,214",,
ROOKS, 459 ," $2,218 "," $1,300 ", $- , $115 , $- , $- , $14 , $789 ,156,,
RUSH, 317 ," $1,301 ", $596 , $- , $48 , $- , $- , $32 , $625 ,133,,
RUSSELL, 667 ," $3,145 "," $1,663 ", $- , $80 , $- , $- , $71 ," $1,332 ",237,,
SALINE," 4,753 "," $24,050 "," $11,763 ", $- ," $2,864 ", $- , $- , $431 ," $8,993 ","1,401",,
SCOTT, 225 ," $1,015 ", $607 , $- , $30 , $- , $- , $23 , $354 ,81,,
SEDGWICK," 37,737 "," $243,440 "," $100,985 ", $- ," $21,503 ", $- ," $10,067 "," $2,217 "," $108,668 ","9,895",,
SEWARD," 1,143 "," $2,558 "," $1,126 ", $- , $196 , $- , $- , $17 ," $1,219 ",168,,
SHAWNEE," 16,036 "," $167,656 "," $66,610 ", $- ," $7,382 ", $- ," $3,269 "," $1,168 "," $89,226 ","5,878",,
SHERIDAN, 216 , $492 , $229 , $- , $8 , $- , $- , $71 , $185 ,64,,
SHERMAN, 590 ," $2,125 ", $976 , $- , $78 , $- , $- , $11 ," $1,059 ",123,,
SMITH, 316 ," $1,561 ", $828 , $- , $40 , $- , $- , $24 , $670 ,136,,
STAFFORD, 336 ," $1,822 ", $762 , $- , $33 , $- , $- , $20 ," $1,007 ",96,,
STANTON, 110 , $308 , $69 , $- , $9 , $- , $- , $94 , $136 ,16,,
STEVENS, 306 , $498 , $276 , $- , $20 , $- , $- , $1 , $202 ,42,,
SUMNER," 2,129 "," $9,544 "," $4,881 ", $- , $448 , $- , $- , $132 ," $4,083 ",451,,
THOMAS, 472 ," $1,307 ", $772 , $- , $107 , $- , $- , $32 , $396 ,113,,
TREGO, 247 ," $1,316 ", $711 , $- , $31 , $- , $- , $100 , $473 ,105,,
WABAUNSEE, 655 ," $4,921 "," $2,546 ", $- , $275 , $- , $- , $34 ," $2,066 ",223,,
WALLACE, 116 , $449 , $345 , $- , $12 , $- , $- , $0 , $92 ,29,,
WASHINGTON, 460 ," $2,127 "," $1,383 ", $- , $26 , $- , $- , $121 , $597 ,138,,
WICHITA, 146 , $467 , $271 , $- , $20 , $- , $- , $47 , $128 ,29,,
WILSON, 839 ," $3,814 "," $1,826 ", $- , $63 , $- , $- , $28 ," $1,897 ",201,,
WOODSON, 384 ," $1,371 ", $752 , $- , $35 , $- , $- , $2 , $581 ,89,,
WYANDOTTE," 9,709 "," $74,189 "," $32,504 ", $- ," $3,664 ", $- , $- , $442 ," $37,579 ","3,164",,
,,,,,,,,,,,,
KANSAS (Totals),"221,206 "," $1,358,491 "," $632,709 ", $270 ," $113,362 ", $- ," $25,295 "," $16,883 "," $569,972 ","58,490 ",,
,,,,,,,,,,,,
CONG. DIST (01)," 55,712 "," $316,917 "," $167,163 ", $- ," $40,302 ", $- , $- ," $4,396 "," $105,056 ","15,649",,
CONG. DIST (02)," 62,939 "," $481,416 "," $208,118 ", $270 ," $29,080 ", $- ," $15,228 "," $3,400 "," $225,320 ","18,729",,
CONG. DIST (03)," 46,566 "," $231,962 "," $116,237 ", $- ," $17,436 ", $- , $- ," $5,866 "," $92,423 ","10,004",,
CONG. DIST (04)," 55,988 "," $328,196 "," $141,192 ", $- ," $26,543 ", $- ," $10,067 "," $3,221 "," $147,173 ","14,108",,
,,,,,,,,,,,,
KANSAS (Totals),"221,206 "," $1,358,491 "," $632,709 ", $270 ," $113,362 ", $- ," $25,295 "," $16,883 "," $569,972 ","58,490 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
