ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pensions,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,PR,CAROLINA,,"$87,751 ","$40,233 ", $- ,"$2,574 ", $- , $- ,$108 ,"$44,837 ","3,095"
14,PR,CATANO,,"$8,967 ","$4,317 ", $- ,$317 , $- , $- ,$2 ,"$4,331 ",264
14,PR,CAYEY,,"$33,521 ","$19,398 ", $- ,"$1,259 ", $- , $- ,$8 ,"$12,855 ","1,031"
14,PR,CEIBA,,"$7,270 ","$4,763 ", $- ,$453 , $- , $- , $- ,"$2,054 ",150
14,PR,CIALES,,"$6,940 ","$4,208 ", $- ,$231 , $- , $- ,$37 ,"$2,463 ",221
14,PR,CIDRA,,"$9,589 ","$6,706 ", $- ,$573 , $- , $- ,$0 ,"$2,311 ",175
14,PR,COAMO,,"$21,652 ","$13,276 ", $- ,"$1,174 ", $- , $- ,$14 ,"$7,189 ",849
14,PR,COMERIO,,"$6,624 ","$3,753 ", $- ,$119 , $- , $- ,$0 ,"$2,752 ",228
14,PR,COROZAL,,"$14,333 ","$8,155 ", $- ,$512 , $- , $- ,$5 ,"$5,662 ",412
14,PR,CULEBRA,,$695 ,$301 , $- ,$7 , $- , $- , $- ,$386 ,29
14,PR,DORADO,,"$16,166 ","$7,045 ", $- ,$700 , $- , $- ,$11 ,"$8,410 ",580
14,PR,FAJARDO,,"$20,310 ","$10,323 ", $- ,$893 , $- , $- ,$213 ,"$8,882 ",790
14,PR,FLORIDA,,"$3,189 ","$2,462 ", $- ,$233 , $- , $- ,$3 ,$490 ,48
14,PR,GUANICA,,"$6,498 ","$3,898 ", $- ,$357 , $- , $- ,$1 ,"$2,241 ",305
14,PR,GUAYAMA,,"$17,098 ","$10,130 ", $- ,$928 , $- , $- ,$4 ,"$6,036 ",717
14,PR,GUAYANILLA,,"$8,911 ","$5,276 ", $- ,$434 , $- , $- ,$2 ,"$3,199 ",445
14,PR,GUAYNABO,,"$38,956 ","$17,933 ", $- ,"$1,620 ", $- , $- ,$153 ,"$19,251 ","1,313"
14,PR,GURABO,,"$15,247 ","$6,923 ", $- ,$815 , $- , $- ,$8 ,"$7,502 ",602
14,PR,HATILLO,,"$13,374 ","$6,402 ", $- ,$492 , $- , $- ,$5 ,"$6,473 ",440
14,PR,HORMIGUEROS,,"$7,413 ","$4,373 ", $- ,$316 , $- , $- ,$1 ,"$2,724 ",390
14,PR,HUMACAO,,"$22,114 ","$12,410 ", $- ,"$1,087 ", $- , $- ,$31 ,"$8,587 ",805
14,PR,ISABELA,,"$20,155 ","$12,636 ", $- ,"$1,028 ", $- , $- ,$18 ,"$6,473 ",763
14,PR,JAYUYA,,"$4,914 ","$3,314 ", $- ,$163 , $- , $- , $- ,"$1,438 ",193
14,PR,JUANA DIAZ,,"$22,516 ","$10,946 ", $- ,"$1,273 ", $- , $- ,$5 ,"$10,292 ","1,077"
14,PR,JUNCOS,,"$13,331 ","$6,543 ", $- ,$637 , $- , $- ,$19 ,"$6,132 ",491
14,PR,LAJAS,,"$9,565 ","$6,280 ", $- ,$540 , $- , $- ,$1 ,"$2,743 ",501
14,PR,LARES,,"$8,438 ","$5,928 ", $- ,$324 , $- , $- ,$0 ,"$2,185 ",321
14,PR,LAS MARIAS,,"$1,390 ",$800 , $- ,$84 , $- , $- , $- ,$507 ,88
14,PR,LAS PIEDRAS,,"$15,188 ","$7,113 ", $- ,$618 , $- , $- ,$13 ,"$7,444 ",633
14,PR,LOIZA,,"$8,115 ","$3,152 ", $- ,$92 , $- , $- ,$10 ,"$4,861 ",294
14,PR,LUQUILLO,,"$9,213 ","$5,212 ", $- ,$368 , $- , $- ,$4 ,"$3,629 ",377
14,PR,MANATI,,"$14,031 ","$8,961 ", $- ,$651 , $- , $- ,$7 ,"$4,411 ",508
14,PR,MARICAO,,"$1,196 ",$778 , $- ,$88 , $- , $- , $- ,$330 ,60
14,PR,MAUNABO,,"$5,363 ","$2,991 ", $- ,$139 , $- , $- ,$25 ,"$2,207 ",149
14,PR,MAYAGUEZ,,"$27,775 ","$16,799 ", $- ,"$1,450 ", $- , $- ,$160 ,"$9,367 ","1,504"
14,PR,MOCA,,"$10,590 ","$6,347 ", $- ,$674 , $- , $- ,$3 ,"$3,565 ",459
14,PR,MOROVIS,,"$12,329 ","$4,872 ", $- ,$319 , $- , $- , $- ,"$7,138 ",613
14,PR,NAGUABO,,"$10,979 ","$5,283 ", $- ,$374 , $- , $- ,$2 ,"$5,320 ",400
14,PR,NARANJITO,,"$8,548 ","$7,128 ", $- ,$292 , $- , $- ,$1 ,"$1,127 ",40
14,PR,OROCOVIS,,"$8,652 ","$4,892 ", $- ,$329 , $- , $- ,$7 ,"$3,424 ",260
14,PR,PATILLAS,,"$6,694 ","$4,436 ", $- ,$345 , $- , $- ,$0 ,"$1,912 ",245
14,PR,PENUELAS,,"$9,994 ","$5,991 ", $- ,$507 , $- , $- ,$35 ,"$3,461 ",440
14,PR,PONCE,,"$74,045 ","$43,536 ", $- ,"$4,120 ", $- , $- ,$31 ,"$26,358 ","3,667"
14,PR,QUEBRADILLAS,,"$11,971 ","$6,864 ", $- ,$612 , $- , $- ,$7 ,"$4,489 ",423
14,PR,RINCON,,"$9,480 ","$2,897 ", $- ,$150 , $- , $- ,$6 ,"$6,426 ",678
14,PR,RIO GRANDE,,"$16,916 ","$10,378 ", $- ,$921 , $- , $- ,$1 ,"$5,616 ",407
14,PR,SABANA GRANDE,,"$11,585 ","$7,351 ", $- ,$705 , $- , $- , $- ,"$3,530 ",555
14,PR,SALINAS,,"$13,585 ","$7,672 ", $- ,$677 , $- , $- ,$1 ,"$5,235 ",585
14,PR,SAN GERMAN,,"$12,804 ","$8,168 ", $- ,$729 , $- , $- ,$2 ,"$3,905 ",669
14,PR,SAN JUAN,,"$197,602 ","$75,102 ","$16,410 ","$6,536 ", $- ,"$19,268 ",$548 ,"$79,738 ","5,159"
14,PR,SAN LORENZO,,"$10,325 ","$6,412 ", $- ,$606 , $- , $- ,$0 ,"$3,306 ",279
14,PR,SAN SEBASTIAN,,"$15,561 ","$7,654 ", $- ,$356 , $- , $- ,$4 ,"$7,547 ",812
14,PR,SANTA ISABEL,,"$6,921 ","$5,068 ", $- ,$552 , $- , $- ,$4 ,"$1,297 ",193
14,PR,TOA ALTA,,"$25,459 ","$12,769 ", $- ,"$1,646 ", $- , $- ,$31 ,"$11,013 ",921
14,PR,TOA BAJA,,"$45,553 ","$23,353 ", $- ,"$1,669 ", $- , $- ,$124 ,"$20,406 ","1,543"
14,PR,TRUJILLO ALTO,,"$26,853 ","$11,464 ", $- ,$670 , $- , $- ,$37 ,"$14,682 ",957
14,PR,UTUADO,,"$14,204 ","$6,662 ", $- ,$485 , $- , $- , $- ,"$7,057 ",693
14,PR,VEGA ALTA,,"$13,841 ","$6,655 ", $- ,$528 , $- , $- ,$26 ,"$6,632 ",511
14,PR,VEGA BAJA,,"$23,686 ","$13,031 ", $- ,$811 , $- , $- ,$12 ,"$9,832 ",800
14,PR,VIEQUES,,"$4,619 ","$2,250 ", $- ,$23 , $- , $- , $- ,"$2,346 ",229
14,PR,VILLALBA,,"$7,523 ","$4,655 ", $- ,$483 , $- , $- , $- ,"$2,384 ",340
14,PR,YABUCOA,,"$12,224 ","$6,807 ", $- ,$285 , $- , $- ,$15 ,"$5,118 ",391
14,PR,YAUCO,,"$17,127 ","$10,455 ", $- ,$781 , $- , $- ,$29 ,"$5,861 ",805
,,,,,,,,,,,,
14,PR,Puerto Rico Totals,"93,240","$1,563,237 ","$816,544 ","$17,830 ","$65,064 ", $- ,"$22,157 ","$2,832 ","$638,810 ","57,248"
,,,,,,,,,,,,
14,PR,CONG. DIST (01),"93,240","$1,563,237 ","$816,544 ","$17,830 ","$65,064 ", $- ,"$22,157 ","$2,832 ","$638,810 ","57,248"
,,,,,,,,,,,,
14,PR,Puerto Rico (Totals),"93,240","$1,563,237 ","$816,544 ","$17,830 ","$65,064 ", $- ,"$22,157 ","$2,832 ","$638,810 ","57,248"
