,,,,,,,,,,,
,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,
CUSTER, 496 ," $2,770 "," $1,303 ", $- , $43 , $- , $- , $10 ," $1,414 ",173,
ELMORE," 8,285 "," $38,183 "," $21,753 ", $- ," $3,890 ", $- , $- , $315 ," $12,225 ","1,448",
FRANKLIN, 727 ," $3,092 "," $1,524 ", $- , $115 , $- , $- , $56 ," $1,398 ",158,
FREMONT," 1,071 "," $4,421 "," $2,358 ", $- , $307 , $- , $- , $73 ," $1,683 ",229,
GEM," 1,545 "," $15,250 "," $6,254 ", $- , $463 , $- , $- , $99 ," $8,435 ",720,
GOODING," 1,209 "," $5,645 "," $2,733 ", $- , $175 , $- , $- , $116 ," $2,621 ",283,
IDAHO," 1,681 "," $11,859 "," $5,180 ", $- , $230 , $- , $- , $155 ," $6,293 ",776,
JEFFERSON," 1,283 "," $8,246 "," $4,354 ", $- , $458 , $- , $- , $22 ," $3,413 ",371,
JEROME," 1,494 "," $5,628 "," $2,593 ", $- , $264 , $- , $- , $139 ," $2,632 ",367,
KOOTENAI," 13,784 "," $96,945 "," $51,688 ", $- ," $4,776 ", $- , $- , $771 ," $39,711 ","4,840",
LATAH," 2,768 "," $12,939 "," $6,110 ", $- ," $2,969 ", $- , $- , $153 ," $3,707 ",547,
LEMHI, 875 ," $7,388 "," $3,450 ", $- , $131 , $- , $- , $28 ," $3,780 ",426,
LEWIS, 460 ," $4,345 "," $3,143 ", $- , $76 , $- , $- , $30 ," $1,096 ",135,
LINCOLN, 293 ," $1,574 ", $476 , $- , $53 , $- , $- , $41 ," $1,004 ",131,
MADISON," 1,000 "," $4,969 "," $2,296 ", $- ," $1,015 ", $- , $- , $24 ," $1,634 ",214,
MINIDOKA," 1,215 "," $6,011 "," $2,846 ", $- , $118 , $- , $- , $39 ," $3,009 ",378,
NEZ PERCE," 3,876 "," $25,398 "," $13,541 ", $- ," $1,285 ", $- , $- , $346 ," $10,226 ","1,391",
ONEIDA, 304 ," $2,165 ", $893 , $- , $49 , $- , $- , $24 ," $1,199 ",110,
OWYHEE, 854 ," $5,522 "," $2,232 ", $- , $91 , $- , $- , $41 ," $3,158 ",336,
PAYETTE," 2,281 "," $13,796 "," $5,341 ", $- , $710 , $- , $- , $70 ," $7,675 ",719,
POWER, 602 ," $2,522 "," $1,046 ", $- , $102 , $- , $- , $73 ," $1,301 ",150,
SHOSHONE," 1,716 "," $9,107 "," $4,792 ", $- , $201 , $- , $- , $115 ," $3,999 ",480,
TETON, 355 ," $1,438 ", $766 , $- , $114 , $- , $- , $66 , $492 ,85,
TWIN FALLS," 6,091 "," $29,824 "," $13,849 ", $- ," $1,565 ", $- , $- , $433 ," $13,977 ","1,750",
VALLEY, 872 ," $5,395 "," $2,754 ", $- , $67 , $- , $- , $78 ," $2,496 ",307,
WASHINGTON, 875 ," $8,618 "," $3,792 ", $- , $137 , $- , $- , $353 ," $4,336 ",357,
,,,,,,,,,,,
IDAHO (Totals),"132,334 "," $893,404 "," $405,841 "," $12,262 "," $56,724 ", $- ," $9,580 "," $8,767 "," $400,229 ","42,592 ",
,,,,,,,,,,,
CONG. DIST (01)," 68,208 "," $499,113 "," $239,267 ", $1 ," $31,225 ", $- , $- ," $5,089 "," $223,531 ","24,733",
CONG. DIST (02)," 64,127 "," $394,291 "," $166,575 "," $12,261 "," $25,499 ", $- ," $9,580 "," $3,679 "," $176,698 ","17,859",
,,,,,,,,,,,
IDAHO (Totals),"132,334 "," $893,404 "," $405,841 "," $12,262 "," $56,724 ", $- ," $9,580 "," $8,767 "," $400,229 ","42,592 ",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
