,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,,,,,
GRAND," 1,035 "," $4,239 "," $2,307 ", $- , $109 , $- , $- , $38 ," $1,785 ",216,,,,,,,,
GUNNISON, 959 ," $3,850 "," $1,914 ", $- , $519 , $- , $- , $82 ," $1,335 ",211,,,,,,,,
HINSDALE, 71 , $528 , $306 , $- , $1 , $- , $- , $151 , $70 ,18,,,,,,,,
HUERFANO, 997 ," $7,586 "," $4,955 ", $- , $125 , $- , $- , $26 ," $2,480 ",339,,,,,,,,
JACKSON, 161 , $759 , $426 , $- , $- , $- , $- , $0 , $333 ,30,,,,,,,,
JEFFERSON," 41,562 "," $262,602 "," $111,395 ", $742 ," $33,262 ", $- ," $38,174 "," $3,827 "," $75,202 ","7,331",,,,,,,,
KIOWA, 111 , $292 , $116 , $- , $21 , $- , $- , $1 , $154 ,25,,,,,,,,
KIT CARSON, 632 ," $2,179 ", $805 , $- , $83 , $- , $- , $54 ," $1,237 ",180,,,,,,,,
LAKE, 514 ," $1,797 "," $1,120 ", $- , $145 , $- , $- , $20 , $513 ,86,,,,,,,,
LA PLATA," 4,217 "," $19,471 "," $10,740 ", $- ," $1,017 ", $- , $- , $302 ," $7,413 ","1,076",,,,,,,,
LARIMER," 22,776 "," $133,928 "," $69,759 ", $- ," $19,016 ", $- , $- ," $1,963 "," $43,190 ","5,641",,,,,,,,
LAS ANIMAS," 1,452 "," $11,880 "," $7,254 ", $- , $450 , $- , $- , $40 ," $4,136 ",520,,,,,,,,
LINCOLN, 609 ," $1,754 "," $1,004 ", $- , $33 , $- , $- , $9 , $708 ,84,,,,,,,,
LOGAN," 1,843 "," $7,287 "," $3,172 ", $- , $389 , $- , $- , $124 ," $3,602 ",362,,,,,,,,
MESA," 14,416 "," $139,533 "," $46,197 ", $- ," $6,349 ", $- , $600 , $925 ," $85,461 ","6,317",,,,,,,,
MINERAL, 81 , $428 , $229 , $- , $- , $- , $- , $0 , $199 ,32,,,,,,,,
MOFFAT," 1,202 "," $5,924 "," $2,187 ", $- , $240 , $- , $- , $69 ," $3,428 ",314,,,,,,,,
MONTEZUMA," 2,507 "," $12,968 "," $7,322 ", $- , $411 , $- , $- , $585 ," $4,650 ",708,,,,,,,,
MONTROSE," 3,659 "," $24,119 "," $10,439 ", $- , $603 , $- , $- , $144 ," $12,932 ","1,421",,,,,,,,
MORGAN," 1,790 "," $7,698 "," $3,558 ", $- , $332 , $- , $- , $137 ," $3,671 ",427,,,,,,,,
OTERO," 1,700 "," $18,156 "," $11,876 ", $- , $443 , $- , $- , $65 ," $5,772 ",575,,,,,,,,
OURAY, 423 ," $1,543 ", $488 , $- , $73 , $- , $- , $22 , $960 ,117,,,,,,,,
PARK," 1,808 "," $11,167 "," $6,513 ", $- , $534 , $- , $- , $100 ," $4,020 ",423,,,,,,,,
PHILLIPS, 325 , $846 , $410 , $- , $25 , $- , $- , $68 , $342 ,71,,,,,,,,
PITKIN, 921 ," $1,742 ", $905 , $- , $28 , $- , $- , $174 , $634 ,104,,,,,,,,
PROWERS, 816 ," $5,748 "," $2,949 ", $- , $210 , $- , $- , $16 ," $2,573 ",260,,,,,,,,
PUEBLO," 16,836 "," $143,319 "," $80,981 ", $- ," $8,694 ", $- , $- , $793 ," $52,851 ","5,240",,,,,,,,
RIO BLANCO, 584 ," $3,250 "," $1,231 ", $- , $119 , $- , $- , $40 ," $1,860 ",163,,,,,,,,
RIO GRANDE," 1,056 "," $7,803 "," $5,340 ", $- , $142 , $- , $- , $109 ," $2,212 ",375,,,,,,,,
ROUTT," 1,301 "," $4,693 "," $2,710 ", $- , $287 , $- , $- , $209 ," $1,487 ",277,,,,,,,,
SAGUACHE, 483 ," $2,060 "," $1,195 ", $- , $17 , $- , $- , $13 , $834 ,166,,,,,,,,
SAN JUAN, 67 , $316 , $86 , $- , $19 , $- , $- , $0 , $211 ,24,,,,,,,,
SAN MIGUEL, 380 ," $1,327 ", $573 , $- , $33 , $- , $- , $21 , $699 ,96,,,,,,,,
SEDGWICK, 259 ," $1,900 ", $758 , $- , $28 , $- , $- , $6 ," $1,107 ",94,,,,,,,,
SUMMIT," 1,401 "," $3,690 "," $2,012 ", $- , $257 , $- , $- , $435 , $985 ,156,,,,,,,,
TELLER," 3,184 "," $22,833 "," $15,259 ", $- ," $1,413 ", $- , $- , $464 ," $5,698 ",727,,,,,,,,
WASHINGTON, 432 ," $1,321 ", $657 , $- , $51 , $- , $- , $0 , $613 ,96,,,,,,,,
WELD," 20,821 "," $99,541 "," $51,913 ", $- ," $10,301 ", $- , $- , $954 ," $36,373 ","4,394",,,,,,,,
YUMA, 707 ," $2,204 "," $1,245 ", $- , $21 , $- , $- , $7 , $931 ,121,,,,,,,,
,,,,,,,,,,,,,,,,,,
COLORADO (Totals),"413,271 "," $3,073,039 "," $1,447,416 "," $221,644 "," $379,047 ", $- ," $61,079 "," $32,291 "," $931,562 ","95,382 ",,,,,,,,
,,,,,,,,,,,,,,,,,,
CONG. DIST (01)," 40,897 "," $545,427 "," $122,875 "," $206,450 "," $33,275 ", $- ," $22,305 "," $4,308 "," $156,215 ","10,765",,,,,,,,
CONG. DIST (02)," 48,048 "," $235,315 "," $122,430 ", $- ," $33,941 ", $- , $- ," $4,748 "," $74,196 ","9,145",,,,,,,,
CONG. DIST (03)," 63,087 "," $459,360 "," $217,576 ", $- ," $21,050 ", $- , $600 ," $4,573 "," $215,561 ","21,154",,,,,,,,
CONG. DIST (04)," 57,767 "," $293,856 "," $157,193 "," $4,561 "," $30,883 ", $- , $- ," $3,427 "," $97,792 ","11,398",,,,,,,,
CONG. DIST (05)," 96,427 "," $867,229 "," $522,800 ", $- ," $172,140 ", $- , $- ," $6,703 "," $165,585 ","22,417",,,,,,,,
CONG. DIST (06)," 53,007 "," $307,275 "," $152,051 ", $34 ," $42,833 ", $- , $- ," $4,531 "," $107,826 ","10,350",,,,,,,,
CONG. DIST (07)," 54,038 "," $364,577 "," $152,492 "," $10,599 "," $44,925 ", $- ," $38,174 "," $4,001 "," $114,386 ","10,153",,,,,,,,
,,,,,,,,,,,,,,,,,,
COLORADO (Totals),"413,271 "," $3,073,039 "," $1,447,416 "," $221,644 "," $379,047 ", $- ," $61,079 "," $32,291 "," $931,562 ","95,382 ",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
