,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
CONG. DIST (22)," 54,321 "," $298,806 "," $151,064 ", $154 ," $15,084 ", $- , $- ," $3,394 "," $129,110 ","14,352",,,
CONG. DIST (23)," 57,134 "," $421,407 "," $196,873 ", $18 ," $16,504 ", $- ," $1,223 "," $4,528 "," $202,261 ","18,843",,,
CONG. DIST (24)," 48,533 "," $372,402 "," $135,828 ", $- ," $20,569 ", $- , $- ," $4,908 "," $211,096 ","15,604",,,
CONG. DIST (25)," 40,830 "," $211,158 "," $100,377 "," $1,139 "," $17,698 ", $- , $- ," $4,543 "," $87,401 ","10,654",,,
CONG. DIST (26)," 47,347 "," $466,465 "," $188,612 "," $7,155 "," $21,090 ", $- ," $46,324 "," $5,216 "," $198,068 ","14,798",,,
CONG. DIST (27)," 53,762 "," $380,763 "," $172,189 ", $132 ," $18,553 ", $- , $- ," $4,505 "," $185,384 ","15,848",,,
,,,,,,,,,,,,,
NEW YORK (Totals),"862,805"," $6,284,863 "," $2,377,227 "," $36,121 "," $567,639 ", $- ," $107,919 "," $94,698 "," $3,101,259 ","227,633",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
