,,,,,,,,,,,
,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,
OUACHITA," 10,644 "," $76,627 "," $44,376 ", $- ," $3,916 ", $- , $- , $589 ," $27,746 ","3,484",
PLAQUEMINES," 1,593 "," $9,404 "," $4,990 ", $- ," $1,724 ", $- , $- , $14 ," $2,676 ",302,
POINTE COUPEE," 1,679 "," $8,772 "," $5,767 ", $- , $272 , $- , $- , $66 ," $2,666 ",336,
RAPIDES," 11,227 "," $154,016 "," $64,713 ", $- ," $5,288 ", $- ," $1,554 ", $744 ," $81,717 ","5,207",
RED RIVER, 517 ," $4,078 "," $2,063 ", $- , $99 , $- , $- , $1 ," $1,915 ",155,
RICHLAND," 1,334 "," $9,518 "," $5,748 ", $- , $376 , $- , $- , $108 ," $3,286 ",411,
SABINE," 1,824 "," $17,271 "," $9,145 ", $- , $261 , $- , $- , $56 ," $7,809 ",676,
ST. BERNARD," 2,395 "," $15,212 "," $6,427 ", $- , $954 , $- , $- , $42 ," $7,789 ",515,
ST. CHARLES," 4,027 "," $17,152 "," $8,383 ", $- ," $1,596 ", $- , $- , $75 ," $7,098 ",640,
ST. HELENA, 756 ," $4,111 "," $2,017 ", $- , $87 , $- , $- , $1 ," $2,006 ",196,
ST. JAMES," 1,509 "," $8,349 "," $4,525 ", $- , $223 , $- , $- , $109 ," $3,492 ",329,
ST. JOHN THE BAPTIST," 3,120 "," $25,436 "," $12,396 ", $- , $961 , $- , $- , $82 ," $11,997 ",950,
ST. LANDRY," 5,736 "," $44,317 "," $25,953 ", $- ," $1,378 ", $- , $- , $410 ," $16,576 ","1,889",
ST. MARTIN," 3,270 "," $19,520 "," $11,227 ", $- , $842 , $- , $- , $94 ," $7,358 ",959,
ST. MARY," 3,352 "," $17,224 "," $8,637 ", $- , $776 , $- , $- , $165 ," $7,646 ",920,
ST. TAMMANY," 21,743 "," $131,284 "," $76,914 ", $- ," $9,355 ", $- , $- ," $1,409 "," $43,606 ","4,609",
TANGIPAHOA," 8,951 "," $59,533 "," $30,008 ", $- ," $3,662 ", $- , $- , $365 ," $25,498 ","2,307",
TENSAS, 439 ," $2,642 "," $1,139 ", $- , $27 , $- , $- , $20 ," $1,456 ",107,
TERREBONNE," 7,193 "," $33,248 "," $18,077 ", $- ," $2,067 ", $- , $- , $263 ," $12,841 ","1,728",
UNION," 1,736 "," $12,276 "," $6,884 ", $- , $264 , $- , $- , $70 ," $5,056 ",580,
VERMILION," 3,261 "," $19,478 "," $12,524 ", $- , $857 , $- , $- , $187 ," $5,910 ",909,
VERNON," 8,042 "," $75,869 "," $49,369 ", $- ," $7,907 ", $- , $- , $217 ," $18,377 ","2,520",
WASHINGTON," 3,801 "," $28,445 "," $16,680 ", $- , $823 , $- , $- , $190 ," $10,752 ","1,236",
WEBSTER," 3,422 "," $27,658 "," $13,685 ", $- , $897 , $- , $- , $139 ," $12,937 ","1,116",
WEST BATON ROUGE," 1,347 "," $9,798 "," $4,971 ", $- , $503 , $- , $- , $136 ," $4,189 ",367,
WEST CARROLL, 823 ," $4,154 "," $2,593 ", $- , $34 , $- , $- , $56 ," $1,471 ",218,
WEST FELICIANA," 1,417 "," $3,143 "," $1,925 ", $- , $236 , $- , $- , $40 , $942 ,114,
WINN," 1,259 "," $8,563 "," $4,555 ", $- , $149 , $- , $- , $37 ," $3,821 ",357,
,,,,,,,,,,,
LOUISIANA (Totals),"326,229 "," $2,658,351 "," $1,211,260 "," $288,759 "," $146,460 ", $- ," $28,577 "," $20,552 "," $962,744 ","89,654 ",
,,,,,,,,,,,
CONG. DIST (01)," 55,427 "," $327,685 "," $184,431 ", $1 ," $24,857 ", $- , $- ," $3,485 "," $114,911 ","11,338",
CONG. DIST (02)," 43,290 "," $686,520 "," $152,205 "," $287,409 "," $23,750 ", $- ," $22,806 "," $3,634 "," $196,716 ","14,110",
CONG. DIST (03)," 51,735 "," $301,705 "," $171,281 ", $- ," $18,065 ", $- , $- ," $2,941 "," $109,418 ","13,575",
CONG. DIST (04)," 68,916 "," $584,121 "," $307,179 ", $640 ," $38,257 ", $- ," $1,545 "," $4,231 "," $232,270 ","21,301",
CONG. DIST (05)," 55,408 "," $480,049 "," $243,307 ", $- ," $17,274 ", $- ," $1,554 "," $2,976 "," $214,938 ","19,247",
CONG. DIST (06)," 51,454 "," $278,271 "," $152,858 ", $708 ," $24,257 ", $- ," $2,672 "," $3,284 "," $94,492 ","10,083",
,,,,,,,,,,,
LOUISIANA (Totals),"326,229 "," $2,658,351 "," $1,211,260 "," $288,759 "," $146,460 ", $- ," $28,577 "," $20,552 "," $962,744 ","89,654 ",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
