,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
DAVISON," 1,376 "," $8,606 "," $4,388 ", $- , $601 , $- , $- , $112 ," $3,504 ",450,,,,
DAY, 565 ," $4,275 "," $1,897 ", $- , $65 , $- , $- , $80 ," $2,233 ",268,,,,
DEUEL, 347 ," $2,714 "," $1,208 ", $- , $139 , $- , $- , $2 ," $1,365 ",181,,,,
DEWEY, 379 ," $4,100 "," $1,543 ", $- , $55 , $- , $- , $16 ," $2,487 ",190,,,,
DOUGLAS, 270 ," $1,097 ", $478 , $- , $12 , $- , $- , $1 , $606 ,109,,,,
EDMUNDS, 281 ," $1,664 ", $622 , $- , $90 , $- , $- , $85 , $868 ,161,,,,
FALL RIVER, 931 ," $26,555 "," $9,904 ", $- , $159 , $- , $390 , $40 ," $16,062 ",687,,,,
FAULK, 176 , $767 , $330 , $- , $12 , $- , $- , $11 , $413 ,83,,,,
GRANT, 562 ," $3,753 "," $1,915 ", $- , $31 , $- , $- , $4 ," $1,803 ",269,,,,
GREGORY, 338 ," $3,369 "," $1,391 ", $- , $27 , $- , $- , $1 ," $1,950 ",181,,,,
HAAKON, 120 , $763 , $263 , $- , $20 , $- , $- , $28 , $452 ,68,,,,
HAMLIN, 439 ," $2,588 "," $1,340 ", $- , $35 , $- , $- , $43 ," $1,170 ",145,,,,
HAND, 245 ," $1,400 ", $660 , $- , $48 , $- , $- , $33 , $658 ,126,,,,
HANSON, 216 ," $2,794 "," $1,196 ", $- , $125 , $- , $- , $61 ," $1,412 ",146,,,,
HARDING, 63 , $561 , $197 , $- , $- , $- , $- , $0 , $364 ,39,,,,
HUGHES," 1,289 "," $9,421 "," $4,108 ", $- , $415 , $- , $- , $62 ," $4,836 ",685,,,,
HUTCHINSON, 501 ," $3,818 "," $1,850 ", $- , $102 , $- , $- , $23 ," $1,842 ",221,,,,
HYDE, 103 , $364 , $214 , $- , $4 , $- , $- , $- , $146 ,45,,,,
JACKSON, 198 ," $1,645 ", $534 , $- , $52 , $- , $- , $17 ," $1,042 ",87,,,,
JERAULD, 133 , $893 , $418 , $- , $15 , $- , $- , $- , $460 ,56,,,,
JONES, 53 , $396 , $85 , $- , $29 , $- , $- , $39 , $242 ,38,,,,
KINGSBURY, 371 ," $2,979 "," $1,571 ", $- , $133 , $- , $- , $7 ," $1,268 ",171,,,,
LAKE, 909 ," $8,540 "," $4,059 ", $- , $471 , $- , $- , $124 ," $3,886 ",410,,,,
LAWRENCE," 2,190 "," $26,071 "," $9,135 ", $- ," $1,034 ", $- , $- , $139 ," $15,763 ","1,221",,,,
LINCOLN," 3,003 "," $26,171 "," $10,359 ", $- ," $1,448 ", $- , $- , $318 ," $14,046 ","1,221",,,,
LYMAN, 238 ," $1,571 ", $698 , $- , $47 , $- , $- , $13 , $813 ,98,,,,
MCCOOK, 404 ," $3,661 "," $1,259 ", $- , $140 , $- , $- , $43 ," $2,219 ",160,,,,
MCPHERSON, 241 ," $1,334 ", $507 , $- , $18 , $- , $- , $40 , $770 ,86,,,,
MARSHALL, 302 ," $2,390 ", $872 , $- , $101 , $- , $- , $1 ," $1,416 ",186,,,,
MEADE," 3,228 "," $56,191 "," $14,940 "," $4,715 "," $1,787 ", $- ," $2,556 ", $25 ," $32,169 ","1,793",,,,
MELLETTE, 87 ," $1,094 ", $392 , $- , $24 , $- , $- , $11 , $667 ,93,,,,
MINER, 155 ," $1,399 ", $502 , $- , $27 , $- , $- , $3 , $867 ,60,,,,
MINNEHAHA," 12,539 "," $134,718 "," $49,752 "," $9,552 "," $5,506 ", $- ," $7,285 ", $856 ," $61,767 ","5,066",,,,
MOODY, 455 ," $3,665 "," $1,296 ", $- , $54 , $- , $- , $41 ," $2,274 ",212,,,,
OGLALA LAKOTA, 648 ," $9,013 "," $3,824 ", $- , $227 , $- , $- , $20 ," $4,941 ",338,,,,
PENNINGTON," 12,418 "," $127,020 "," $58,671 ", $- ," $10,508 ", $- , $- , $999 ," $56,843 ","5,652",,,,
PERKINS, 230 ," $2,024 ", $673 , $- , $33 , $- , $- , $0 ," $1,317 ",141,,,,
POTTER, 200 ," $1,161 ", $690 , $- , $- , $- , $- , $6 , $466 ,106,,,,
ROBERTS, 750 ," $6,401 "," $3,267 ", $- , $188 , $- , $- , $42 ," $2,905 ",328,,,,
SANBORN, 190 ," $1,761 "," $1,273 ", $- , $67 , $- , $- , $0 , $420 ,54,,,,
SPINK, 457 ," $3,204 "," $1,441 ", $- , $76 , $- , $- , $12 ," $1,675 ",239,,,,
STANLEY, 200 ," $1,731 ", $765 , $- , $4 , $- , $- , $47 , $915 ,124,,,,
SULLY, 77 , $460 , $111 , $- , $- , $- , $- , $- , $349 ,57,,,,
TODD, 479 ," $3,696 "," $1,673 ", $- , $76 , $- , $- , $19 ," $1,928 ",197,,,,
TRIPP, 338 ," $2,621 "," $1,166 ", $- , $41 , $- , $- , $12 ," $1,402 ",201,,,,
TURNER, 628 ," $6,510 "," $2,337 ", $- , $286 , $- , $- , $31 ," $3,856 ",314,,,,
UNION," 1,170 "," $7,097 "," $3,776 ", $- , $302 , $- , $- , $134 ," $2,886 ",386,,,,
WALWORTH, 422 ," $3,305 "," $1,315 ", $- , $52 , $- , $- , $1 ," $1,938 ",258,,,,
YANKTON," 1,669 "," $10,802 "," $4,623 ", $- , $420 , $- , $- , $294 ," $5,464 ",542,,,,
ZIEBACH, 75 , $814 , $239 , $- , $7 , $- , $- , $- , $568 ,40,,,,
,,,,,,,,,,,,,,
SOUTH DAKOTA (Totals),"65,893 "," $642,875 "," $258,293 "," $14,267 "," $30,157 ", $- ," $10,231 "," $4,807 "," $325,119 ","30,120 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 65,893 "," $642,875 "," $258,293 "," $14,267 "," $30,157 ", $- ," $10,231 "," $4,807 "," $325,119 ","30,120",,,,
,,,,,,,,,,,,,,
SOUTH DAKOTA (Totals),"65,893 "," $642,875 "," $258,293 "," $14,267 "," $30,157 ", $- ," $10,231 "," $4,807 "," $325,119 ","30,120 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
