,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
CAPE GIRARDEAU," 6,477 "," $33,597 "," $20,162 ", $- ," $2,313 ", $- , $- , $232 ," $10,889 ","1,916",,,
CARROLL, 841 ," $5,651 "," $3,296 ", $- , $125 , $- , $- , $18 ," $2,212 ",289,,,
CARTER, 550 ," $6,442 "," $3,348 ", $- , $202 , $- , $- , $11 ," $2,880 ",299,,,
CASS," 9,548 "," $50,504 "," $27,331 ", $- ," $3,545 ", $- , $- , $420 ," $19,208 ","2,383",,,
CEDAR," 1,491 "," $11,267 "," $6,177 ", $- , $234 , $- , $- , $72 ," $4,784 ",557,,,
CHARITON, 748 ," $5,228 "," $2,424 ", $- , $84 , $- , $- , $17 ," $2,703 ",287,,,
CHRISTIAN," 7,251 "," $37,472 "," $23,682 ", $- ," $2,756 ", $- , $- , $418 ," $10,616 ","2,005",,,
CLARK, 589 ," $3,938 "," $1,779 ", $- , $62 , $- , $- , $3 ," $2,094 ",201,,,
CLAY," 20,056 "," $102,514 "," $55,021 ", $- ," $8,216 ", $- , $- , $892 ," $38,385 ","4,488",,,
CLINTON," 2,181 "," $13,599 "," $7,694 ", $- , $554 , $- , $- , $143 ," $5,208 ",724,,,
COLE," 7,266 "," $37,065 "," $20,130 ", $- ," $2,388 ", $- , $36 , $485 ," $14,026 ","1,977",,,
COOPER," 1,275 "," $13,180 "," $5,923 ", $- , $429 , $- , $- , $185 ," $6,643 ",579,,,
CRAWFORD," 2,299 "," $17,139 "," $8,912 ", $- , $513 , $- , $- , $60 ," $7,655 ",766,,,
DADE, 839 ," $4,303 "," $2,552 ", $- , $121 , $- , $- , $24 ," $1,606 ",248,,,
DALLAS," 1,461 "," $12,976 "," $7,507 ", $- , $235 , $- , $- , $31 ," $5,203 ",569,,,
DAVIESS, 745 ," $4,701 "," $2,200 ", $- , $58 , $- , $- , $20 ," $2,423 ",277,,,
DE KALB," 1,420 "," $4,367 "," $2,068 ", $- , $168 , $- , $- , $25 ," $2,106 ",284,,,
DENT," 1,411 "," $12,755 "," $7,276 ", $- , $285 , $- , $- , $16 ," $5,178 ",535,,,
DOUGLAS," 1,071 "," $7,111 "," $4,522 ", $- , $326 , $- , $- , $42 ," $2,222 ",359,,,
DUNKLIN," 2,159 "," $18,072 "," $10,057 ", $- , $337 , $- , $- , $130 ," $7,548 ",798,,,
FRANKLIN," 8,479 "," $42,038 "," $22,941 ", $- ," $2,531 ", $- , $- , $558 ," $16,007 ","1,810",,,
GASCONADE," 1,450 "," $8,905 "," $5,094 ", $- , $192 , $- , $- , $221 ," $3,398 ",424,,,
GENTRY, 643 ," $3,547 "," $1,711 ", $- , $164 , $- , $- , $6 ," $1,666 ",159,,,
GREENE," 24,718 "," $121,368 "," $70,819 ", $- ," $13,223 ", $- , $718 ," $1,146 "," $35,462 ","6,210",,,
GRUNDY, 878 ," $5,023 "," $2,857 ", $- , $88 , $- , $- , $67 ," $2,011 ",324,,,
HARRISON, 707 ," $4,671 "," $2,037 ", $- , $90 , $- , $- , $20 ," $2,524 ",260,,,
HENRY," 2,507 "," $19,274 "," $11,789 ", $- , $661 , $- , $- , $32 ," $6,792 ",816,,,
HICKORY," 1,210 "," $7,246 "," $4,244 ", $- , $69 , $- , $- , $41 ," $2,892 ",350,,,
HOLT, 489 ," $2,285 "," $1,189 ", $- , $52 , $- , $- , $1 ," $1,043 ",119,,,
HOWARD, 953 ," $6,619 "," $2,985 ", $- , $186 , $- , $- , $21 ," $3,427 ",311,,,
HOWELL," 3,736 "," $28,918 "," $17,224 ", $- , $960 , $- , $- , $132 ," $10,602 ","1,415",,,
IRON," 1,085 "," $8,131 "," $5,438 ", $- , $162 , $- , $- , $17 ," $2,513 ",361,,,
JACKSON," 47,751 "," $399,482 "," $157,063 "," $12,288 "," $20,008 ", $- ," $27,086 "," $3,333 "," $179,705 ","15,058",,,
JASPER," 9,782 "," $58,433 "," $32,279 ", $- ," $3,947 ", $- , $- , $743 ," $21,464 ","2,890",,,
JEFFERSON," 20,870 "," $90,975 "," $45,315 ", $- ," $6,286 ", $- , $- ," $1,387 "," $37,987 ","3,857",,,
JOHNSON," 6,454 "," $40,145 "," $23,250 ", $- ," $6,443 ", $- , $- , $862 ," $9,589 ","1,435",,,
KNOX, 331 ," $5,221 "," $1,720 ", $- , $23 , $- ," $1,245 ", $49 ," $2,185 ",156,,,
LACLEDE," 3,498 "," $26,900 "," $17,467 ", $- ," $1,552 ", $- , $- , $141 ," $7,740 ","1,088",,,
LAFAYETTE," 2,895 "," $17,902 "," $9,803 ", $- , $920 , $- , $- , $17 ," $7,161 ",917,,,
LAWRENCE," 3,464 "," $23,053 "," $12,824 ", $- , $764 , $- , $- , $124 ," $9,341 ","1,588",,,
LEWIS, 740 ," $5,264 "," $2,675 ", $- , $180 , $- , $- , $140 ," $2,269 ",304,,,
LINCOLN," 4,826 "," $21,458 "," $10,121 ", $- ," $1,459 ", $- , $- , $274 ," $9,605 ",844,,,
LINN," 1,148 "," $8,618 "," $4,167 ", $- , $150 , $- , $- , $43 ," $4,259 ",485,,,
LIVINGSTON," 1,323 "," $7,097 "," $4,275 ", $- , $180 , $- , $- , $63 ," $2,579 ",405,,,
MCDONALD," 1,596 "," $12,181 "," $5,079 ", $- , $372 , $- , $- , $79 ," $6,652 ",685,,,
MACON," 1,212 "," $11,284 "," $5,718 ", $- , $244 , $- , $- , $120 ," $5,202 ",576,,,
MADISON," 1,137 "," $9,503 "," $5,483 ", $- , $198 , $- , $- , $56 ," $3,766 ",477,,,
MARIES, 917 ," $5,914 "," $2,957 ", $- , $176 , $- , $- , $41 ," $2,739 ",335,,,
MARION," 2,444 "," $15,191 "," $8,419 ", $- , $586 , $- , $- , $68 ," $6,118 ",732,,,
MERCER, 361 ," $2,839 "," $1,407 ", $- , $21 , $- , $- , $1 ," $1,411 ",138,,,
MILLER," 2,200 "," $15,403 "," $7,635 ", $- , $351 , $- , $- , $147 ," $7,269 ",870,,,
MISSISSIPPI, 821 ," $7,086 "," $3,045 ", $- , $157 , $- , $- , $45 ," $3,839 ",360,,,
MONITEAU," 1,329 "," $7,417 "," $4,049 ", $- , $316 , $- , $- , $55 ," $2,998 ",378,,,
MONROE, 757 ," $7,494 "," $3,656 ", $- , $179 , $- , $- , $31 ," $3,628 ",374,,,
MONTGOMERY," 1,173 "," $8,270 "," $3,861 ", $- , $328 , $- , $- , $9 ," $4,072 ",390,,,
MORGAN," 2,307 "," $19,652 "," $10,072 ", $- , $165 , $- , $- , $16 ," $9,400 ",966,,,
NEW MADRID," 1,482 "," $10,930 "," $5,672 ", $- , $299 , $- , $- , $260 ," $4,699 ",536,,,
NEWTON," 5,149 "," $25,483 "," $12,526 ", $- ," $1,078 ", $- , $- , $273 ," $11,605 ","1,666",,,
NODAWAY," 1,430 "," $6,834 "," $3,625 ", $- , $426 , $- , $- , $274 ," $2,509 ",365,,,
OREGON, 953 ," $9,042 "," $4,998 ", $- , $195 , $- , $- , $27 ," $3,822 ",409,,,
OSAGE," 1,014 "," $6,724 "," $3,046 ", $- , $279 , $- , $- , $117 ," $3,282 ",355,,,
OZARK," 1,028 "," $6,630 "," $3,912 ", $- , $118 , $- , $- , $145 ," $2,455 ",343,,,
PEMISCOT," 1,213 "," $8,370 "," $5,139 ", $- , $136 , $- , $- , $194 ," $2,901 ",364,,,
PERRY," 1,498 "," $7,139 "," $4,741 ", $- , $414 , $- , $- , $26 ," $1,959 ",414,,,
PETTIS," 3,643 "," $26,508 "," $14,619 ", $- ," $1,219 ", $- , $- , $223 ," $10,448 ","1,313",,,
PHELPS," 4,516 "," $40,758 "," $25,581 ", $- ," $2,518 ", $- , $- , $218 ," $12,441 ","1,463",,,
PIKE," 1,801 "," $9,203 "," $4,568 ", $- , $265 , $- , $- , $251 ," $4,119 ",415,,,
PLATTE," 7,374 "," $51,256 "," $26,489 ", $- ," $8,779 ", $- , $- , $554 ," $15,434 ","1,814",,,
POLK," 2,904 "," $16,798 "," $9,219 ", $- , $912 , $- , $- , $265 ," $6,402 ",915,,,
PULASKI," 8,347 "," $107,230 "," $73,660 ", $- ," $15,568 ", $- , $- , $372 ," $17,630 ","2,547",,,
PUTNAM, 409 ," $3,179 "," $1,734 ", $- , $39 , $- , $- , $8 ," $1,398 ",164,,,
RALLS, 839 ," $7,752 "," $2,135 ", $- , $107 , $- ," $2,213 ", $19 ," $3,278 ",368,,,
RANDOLPH," 2,407 "," $18,113 "," $9,394 ", $- , $626 , $- , $- , $24 ," $8,069 ",781,,,
RAY," 1,844 "," $18,463 "," $6,134 "," $4,755 ", $276 , $- ," $1,581 ", $336 ," $5,380 ",633,,,
REYNOLDS, 672 ," $6,894 "," $3,510 ", $- , $41 , $- , $- , $7 ," $3,337 ",247,,,
RIPLEY," 1,231 "," $12,942 "," $6,942 ", $- , $287 , $- , $- , $6 ," $5,707 ",558,,,
ST. CHARLES," 30,712 "," $126,256 "," $74,328 ", $- ," $14,195 ", $- , $- ," $1,842 "," $35,892 ","4,063",,,
ST. CLAIR," 1,092 "," $7,971 "," $4,327 ", $- , $130 , $- , $- , $5 ," $3,508 ",384,,,
SAINTE GENEVIEVE," 1,623 "," $9,877 "," $4,866 ", $- , $254 , $- , $- , $264 ," $4,492 ",471,,,
ST. FRANCOIS," 6,323 "," $41,556 "," $22,081 ", $- ," $1,873 ", $- , $- , $311 ," $17,291 ","1,875",,,
ST. LOUIS," 70,162 "," $464,079 "," $195,396 "," $54,826 "," $33,596 ", $- ," $18,280 "," $7,801 "," $154,180 ","14,293",,,
SALINE," 1,553 "," $12,208 "," $6,572 ", $- , $563 , $- , $- , $83 ," $4,990 ",560,,,
SCHUYLER, 305 ," $1,974 "," $1,049 ", $- , $66 , $- , $- , $30 , $829 ,130,,,
SCOTLAND, 358 ," $6,738 "," $1,164 "," $2,239 ", $62 , $- ," $2,368 ", $8 , $897 ,140,,,
SCOTT," 3,063 "," $25,045 "," $14,856 ", $- , $807 , $- , $- , $52 ," $9,330 ","1,157",,,
SHANNON, 709 ," $7,198 "," $3,656 ", $- , $140 , $- , $- , $48 ," $3,354 ",245,,,
SHELBY, 591 ," $3,908 "," $2,102 ", $- , $158 , $- , $- , $15 ," $1,632 ",209,,,
STODDARD," 2,694 "," $23,900 "," $12,614 ", $- , $511 , $- , $- , $161 ," $10,613 ","1,111",,,
STONE," 4,148 "," $19,100 "," $11,209 ", $- , $428 , $- , $- , $236 ," $7,228 ","1,373",,,
SULLIVAN, 507 ," $2,634 "," $1,583 ", $- , $57 , $- , $- , $7 , $986 ,191,,,
TANEY," 4,335 "," $31,963 "," $17,588 ", $- ," $1,015 ", $- , $- , $148 ," $13,212 ","2,018",,,
TEXAS," 2,877 "," $28,996 "," $17,447 ", $- ," $1,202 ", $- , $- , $87 ," $10,260 ","1,061",,,
VERNON," 1,499 "," $11,159 "," $4,931 ", $- , $334 , $- , $- , $61 ," $5,833 ",681,,,
WARREN," 3,059 "," $14,683 "," $7,258 ", $- , $781 , $- , $- , $135 ," $6,509 ",620,,,
WASHINGTON," 2,044 "," $10,852 "," $5,653 ", $- , $291 , $- , $- , $42 ," $4,866 ",612,,,
WAYNE," 1,378 "," $19,982 "," $9,523 ", $- , $339 , $- , $- , $75 ," $10,045 ",732,,,
WEBSTER," 3,614 "," $18,607 "," $11,363 ", $- , $922 , $- , $- , $95 ," $6,228 ",973,,,
WORTH, 223 ," $1,379 ", $591 , $- , $8 , $- , $- , $68 , $711 ,78,,,
WRIGHT," 1,526 "," $14,757 "," $9,565 ", $- , $323 , $- , $- , $88 ," $4,780 ",561,,,
ST. LOUIS (CITY)," 17,807 "," $275,128 "," $59,270 ", $361 ," $13,008 ", $- ," $96,907 "," $1,337 "," $104,244 ","6,633",,,
,,,,,,,,,,,,,
MISSOURI (Totals),"494,346 "," $3,440,223 "," $1,651,755 "," $79,828 "," $209,426 ", $- ," $154,455 "," $32,728 "," $1,312,031 ","139,929 ",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 47,022 "," $519,808 "," $184,621 ", $781 ," $34,555 ", $- ," $96,907 "," $3,023 "," $199,921 ","14,815",,,
CONG. DIST (02)," 55,935 "," $288,273 "," $105,012 "," $56,618 "," $18,225 ", $- ," $22,300 "," $7,237 "," $78,882 ","8,305",,,
CONG. DIST (03)," 68,115 "," $338,613 "," $180,390 ", $32 ," $22,761 ", $- , $- ," $3,943 "," $131,487 ","14,631",,,
CONG. DIST (04)," 71,854 "," $565,599 "," $312,422 ", $167 ," $43,904 ", $- , $38 ," $4,038 "," $205,031 ","23,074",,,
CONG. DIST (05)," 56,186 "," $481,724 "," $194,017 "," $18,320 "," $24,141 ", $- ," $34,492 "," $3,883 "," $206,871 ","17,535",,,
CONG. DIST (06)," 61,445 "," $355,954 "," $180,592 "," $3,329 "," $22,171 ", $- , $- ," $3,776 "," $146,086 ","17,873",,,
CONG. DIST (07)," 67,099 "," $369,570 "," $208,527 ", $- ," $25,130 ", $- , $718 ," $3,685 "," $131,511 ","20,760",,,
CONG. DIST (08)," 66,691 "," $520,682 "," $286,175 ", $582 ," $18,541 ", $- , $- ," $3,143 "," $212,243 ","22,936",,,
,,,,,,,,,,,,,
MISSOURI (Totals),"494,346 "," $3,440,223 "," $1,651,755 "," $79,828 "," $209,426 ", $- ," $154,455 "," $32,728 "," $1,312,031 ","139,929 ",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
