,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
VERNON," 8,339 "," $86,247 "," $56,694 ", $- ," $8,711 ", $- , $- , $310 ," $20,532 ","2,804",,
WASHINGTON," 3,144 "," $30,706 "," $17,382 ", $- , $940 , $- , $- , $96 ," $12,287 ","1,245",,
WEBSTER," 2,858 "," $27,373 "," $13,900 ", $- , $908 , $- , $- , $126 ," $12,439 ","1,044",,
WEST BATON ROUGE," 1,314 "," $11,130 "," $5,773 ", $- , $578 , $- , $- , $147 ," $4,633 ",385,,
WEST CARROLL, 567 ," $4,367 "," $2,820 ", $- , $64 , $- , $- , $32 ," $1,451 ",209,,
WEST FELICIANA, 634 ," $3,389 "," $1,925 ", $- , $226 , $- , $- , $86 ," $1,152 ",116,,
WINN, 866 ," $7,965 "," $4,239 ", $- , $164 , $- , $- , $30 ," $3,532 ",364,,
,,,,,,,,,,,,
LOUISIANA (Totals),"287,373 "," $2,590,020 "," $1,325,975 "," $140,423 "," $150,364 ", $- ," $26,254 "," $19,719 "," $927,285 ","90,774 ",,
,,,,,,,,,,,,
CONG. DIST (01)," 46,829 "," $346,740 "," $204,061 ", $- ," $25,004 ", $- , $- ," $3,590 "," $114,085 ","11,694",,
CONG. DIST (02)," 38,472 "," $544,656 "," $163,961 "," $136,941 "," $22,557 ", $- ," $21,718 "," $3,461 "," $196,017 ","14,469",,
CONG. DIST (03)," 46,499 "," $309,570 "," $188,291 ", $- ," $20,285 ", $- , $- ," $2,518 "," $98,476 ","13,634",,
CONG. DIST (04)," 64,079 "," $616,350 "," $341,038 "," $3,387 "," $41,463 ", $- ," $1,159 "," $3,699 "," $225,604 ","21,590",,
CONG. DIST (05)," 47,722 "," $486,152 "," $261,088 ", $95 ," $17,464 ", $- ," $1,842 "," $3,362 "," $202,302 ","19,166",,
CONG. DIST (06)," 43,772 "," $286,551 "," $167,537 ", $- ," $23,592 ", $- ," $1,534 "," $3,088 "," $90,801 ","10,221",,
,,,,,,,,,,,,
LOUISIANA (Totals),"287,373 "," $2,590,020 "," $1,325,975 "," $140,423 "," $150,364 ", $- ," $26,254 "," $19,719 "," $927,285 ","90,774 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
